Name,Artist
44 BullDog,Pop Smoke
Yea Yea,Pop Smoke
Snitching (feat. Quavo & Future),Pop Smoke
Tommy Lee (feat. Post Malone),Tyla Yaweh
Thunder,Imagine Dragons
Don't Stop Believin',Journey
Salt,Ava Max
Myron,Lil Uzi Vert
Sucker,Jonas Brothers
High Hopes,Panic! At The Disco
Say So (feat. Nicki Minaj),Doja Cat
Know Your Worth,"Khalid, Disclosure"
Airwaves,Pashanim
PA' ROMPERLA,"Bad Bunny, Don Omar"
VACATION,Tyga
Big Body Benz,Bonez MC
Djomb - Bien ou quoi,Bosh
In Your Eyes (feat. Alida),"Alida, Robin Schulz"
Shotta Flow 5,NLE Choppa
Na Raba Toma Tap̣o,Niack
ROCKSTAR (feat. Roddy Ricch) - BLM REMIX,DaBaby
P2,Lil Uzi Vert
My Oh My (feat. DaBaby),Camila Cabello
If I Can't Have You,Shawn Mendes
Houdini (feat. Swarmz & Tion Wayne),KSI
The Take (feat. Chris Brown),Tory Lanez
"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future
Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin"
Hot (Remix) [feat. Gunna and Travis Scott],"Travis Scott, Young Thug"
Hips Don't Lie (feat. Wyclef Jean),Shakira
Liar,Camila Cabello
The London (feat. J. Cole & Travis Scott),"J. Cole, Young Thug"
Hands,Mac Miller
Up All Night,Khalid
VALENTINO,24kGoldn
One Kiss (with Dua Lipa),Calvin Harris
GATTI,"JACKBOYS, Pop Smoke, Travis Scott"
